./sledgehammer/FFT/uf.911849.smt2, sat, 18, v1, 432.0297191180289
./sledgehammer/FFT/uf.911849.smt2, sat, 18, v3, 834.2519687823951
./sledgehammer/Fundamental_Theorem_Algebra/uf.1140203.smt2, sat, 8, v1, 973.6672938987613
./sledgehammer/Fundamental_Theorem_Algebra/uf.1140203.smt2, sat, 8, v3, 416.8699865825474
./sledgehammer/Fundamental_Theorem_Algebra/uf.1140203.smt2, sat, 8, v1, 963.1390737183392
./sledgehammer/Fundamental_Theorem_Algebra/uf.1140203.smt2, sat, 8, v3, 415.63209630176425
./sledgehammer/Fundamental_Theorem_Algebra/uf.1140203.smt2, sat, 8, v1, 974.3410845659673
./sledgehammer/Fundamental_Theorem_Algebra/uf.1140203.smt2, sat, 8, v3, 410.9743230380118
./sledgehammer/FFT/uf.892719.smt2, sat, 26, v1, 258.18931367993355
./sledgehammer/FFT/uf.892719.smt2, sat, 26, v3, 174.96198090538383
./sledgehammer/FFT/uf.892719.smt2, sat, 26, v1, 259.53643045946956
./sledgehammer/FFT/uf.892719.smt2, sat, 26, v3, 176.2437596730888
./sledgehammer/FFT/uf.892719.smt2, sat, 26, v1, 255.2273029498756
./sledgehammer/FFT/uf.892719.smt2, sat, 26, v3, 177.55390348285437
./sledgehammer/QEpres/uf.1021012.smt2, sat, 15, v1, 436.8806627243757
./sledgehammer/QEpres/uf.1021012.smt2, sat, 15, v3, 317.7753001153469
./sledgehammer/QEpres/uf.1021012.smt2, sat, 15, v1, 432.325366191566
./sledgehammer/QEpres/uf.1021012.smt2, sat, 15, v3, 316.96255135908723
./sledgehammer/QEpres/uf.1021012.smt2, sat, 15, v1, 432.41166178137064
./sledgehammer/QEpres/uf.1021012.smt2, sat, 15, v3, 319.7115964367986
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v3si, 402.68118591606617, 31, 33
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v3si, 404.07364769652486, 31, 33
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v3si, 409.1264027915895, 31, 33
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v3si, 364.9767033793032, 52, 53
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v3si, 374.70791390910745, 52, 53
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v3si, 378.2302824854851, 52, 53
./sledgehammer/QEpres/uf.804859.smt2, sat, 28, v3si, 264.0328090339899, 13, 17
